,title,duration,url
50,"
                    Wax Rain

                ","
                    00:01:18
                ",https://bdsmstreak.com/video/45803/wax-rain
51,"
                    Hot Wax Femdom

                ","
                    00:00:43
                ",https://bdsmstreak.com/video/45777/hot-wax-femdom
52,"
                    Playing with Hot Wax

                ","
                    00:16:37
                ",https://bdsmstreak.com/video/45683/playing-with-hot-wax
53,"
                    Luna and Hot Wax

                ","
                    00:03:38
                ",https://bdsmstreak.com/video/45353/luna-and-hot-wax
54,"
                    Hot Wax for the slave Girl

                ","
                    00:11:15
                ",https://bdsmstreak.com/video/45354/hot-wax-for-the-slave-girl
55,"
                    Hot Wax and Tit Flogging

                ","
                    00:12:09
                ",https://bdsmstreak.com/video/43907/hot-wax-and-tit-flogging
56,"
                    JAV - Aki

                ","
                    00:59:20
                ",https://bdsmstreak.com/video/43897/jav-aki
57,"
                    Ashley Lane - Winter Break

                ","
                    00:42:01
                ",https://bdsmstreak.com/video/43718/ashley-lane-winter-break
58,"
                    Hot Wax for Submissive

                ","
                    00:01:29
                ",https://bdsmstreak.com/video/43669/hot-wax-for-submissive
59,"
                    Tigerr Benson Fucked and Punished

                ","
                    00:20:50
                ",https://bdsmstreak.com/video/43496/tigerr-benson-fucked-and-punished
60,"
                    Tobi Tortured

                ","
                    00:26:15
                ",https://bdsmstreak.com/video/43476/tobi-tortured
61,"
                    Hot Wax Cunt Torture Extreme

                ","
                    00:27:28
                ",https://bdsmstreak.com/video/43466/hot-wax-cunt-torture-extreme
62,"
                    Hot Wax Play - 2

                ","
                    00:10:34
                ",https://bdsmstreak.com/video/42924/hot-wax-play-2
63,"
                    Hot Wax Play

                ","
                    00:09:39
                ",https://bdsmstreak.com/video/42918/hot-wax-play
64,"
                    She Likes Pain

                ","
                    00:01:10
                ",https://bdsmstreak.com/video/42780/she-likes-pain
65,"
                    Cindy and Her Bitch

                ","
                    00:20:28
                ",https://bdsmstreak.com/video/42770/cindy-and-her-bitch
66,"
                    Nataly Gold - Hot Wax and Cock Worship

                ","
                    00:03:59
                ",https://bdsmstreak.com/video/42544/nataly-gold-hot-wax-and-cock-worship
67,"
                    Mei Mara - Hot Wax Torture

                ","
                    00:49:25
                ",https://bdsmstreak.com/video/42434/mei-mara-hot-wax-torture
68,"
                    Hot Wax For Her Bitch Girl

                ","
                    00:08:30
                ",https://bdsmstreak.com/video/42263/hot-wax-for-her-bitch-girl
69,"
                    Latina Teen Tortured by Domme

                ","
                    00:07:30
                ",https://bdsmstreak.com/video/42262/latina-teen-tortured-by-domme
70,"
                    Vintage - French Dominant Couple

                ","
                    00:23:46
                ",https://bdsmstreak.com/video/42178/vintage-french-dominant-couple
71,"
                    Slave Lotte - Electro Anal and Needle Torture

                ","
                    00:09:39
                ",https://bdsmstreak.com/video/41562/slave-lotte-electro-anal-and-needle-torture
72,"
                    Hot Wax and Whipping Torture

                ","
                    00:11:43
                ",https://bdsmstreak.com/video/40804/hot-wax-and-whipping-torture
73,"
                    Pig Skin and Painal - Hot Wax

                ","
                    00:12:57
                ",https://bdsmstreak.com/video/40781/pig-skin-and-painal-hot-wax
74,"
                    Slave Competition - ElitePain

                ","
                    00:54:02
                ",https://bdsmstreak.com/video/40639/slave-competition-elitepain
75,"
                    Collared and Dominated With Hot Wax and Clamps

                ","
                    00:56:19
                ",https://bdsmstreak.com/video/40450/collared-and-dominated-with-hot-wax-and-clamps
76,"
                    Underground Vintage BDSM

                ","
                    00:56:49
                ",https://bdsmstreak.com/video/40418/underground-vintage-bdsm
77,"
                    Queensnake - Hot Wax Fun

                ","
                    00:01:03
                ",https://bdsmstreak.com/video/40416/queensnake-hot-wax-fun
78,"
                    Hot Wax and Use for Slave

                ","
                    00:33:31
                ",https://bdsmstreak.com/video/40194/hot-wax-and-use-for-slave
79,"
                    Threesome German Maledom

                ","
                    00:31:50
                ",https://bdsmstreak.com/video/40180/threesome-german-maledom
80,"
                    Two Slaves - One Master - German

                ","
                    00:16:41
                ",https://bdsmstreak.com/video/40168/two-slaves-one-master-german
81,"
                    Hot Wax Torture of a Bald Slave

                ","
                    00:37:03
                ",https://bdsmstreak.com/video/40006/hot-wax-torture-of-a-bald-slave
82,"
                    Lezdom Cunt Torture

                ","
                    00:04:00
                ",https://bdsmstreak.com/video/39596/lezdom-cunt-torture
83,"
                    Hot Wax for Japanese MILF

                ","
                    00:12:06
                ",https://bdsmstreak.com/video/39249/hot-wax-for-japanese-milf
84,"
                    Benutzte Sklave

                ","
                    00:38:52
                ",https://bdsmstreak.com/video/39225/benutzte-sklave
85,"
                    Slave Girl Daniella - 5

                ","
                    00:11:13
                ",https://bdsmstreak.com/video/39140/slave-girl-daniella-5
86,"
                    Hot Wax for Tied Tits - Master Costello

                ","
                    00:13:19
                ",https://bdsmstreak.com/video/39017/hot-wax-for-tied-tits-master-costello
87,"
                    New Year is Here

                ","
                    00:29:48
                ",https://bdsmstreak.com/video/38886/new-year-is-here
88,"
                    Nipple and Tit Torture

                ","
                    00:12:29
                ",https://bdsmstreak.com/video/38764/nipple-and-tit-torture
89,"
                    Hot Wax Bitch

                ","
                    00:08:10
                ",https://bdsmstreak.com/video/38630/hot-wax-bitch
90,"
                    Slave in Love

                ","
                    00:33:23
                ",https://bdsmstreak.com/video/38565/slave-in-love
91,"
                    Classic Vintage BDSM

                ","
                    00:11:29
                ",https://bdsmstreak.com/video/38555/classic-vintage-bdsm
92,"
                    Japanese Hot Wax Torture BDSM

                ","
                    02:20:37
                ",https://bdsmstreak.com/video/37766/japanese-hot-wax-torture-bdsm
93,"
                    Torture of Japanese Slave

                ","
                    00:46:15
                ",https://bdsmstreak.com/video/37480/torture-of-japanese-slave
94,"
                    Hot Wax - Lezdom

                ","
                    00:08:30
                ",https://bdsmstreak.com/video/37099/hot-wax-lezdom
95,"
                    Hot Wax and Vibe - Japanese

                ","
                    00:13:48
                ",https://bdsmstreak.com/video/36671/hot-wax-and-vibe-japanese
96,"
                    Hot Wax for my Sub

                ","
                    00:01:08
                ",https://bdsmstreak.com/video/36660/hot-wax-for-my-sub
97,"
                    Hot Wax Torture

                ","
                    00:12:34
                ",https://bdsmstreak.com/video/36359/hot-wax-torture
98,"
                    Duct tape and hot wax

                ","
                    00:03:11
                ",https://bdsmstreak.com/video/35757/duct-tape-and-hot-wax
99,"
                    Japanese Hot Wax Torture

                ","
                    00:14:20
                ",https://bdsmstreak.com/video/35609/japanese-hot-wax-torture
100,"
                    Hot wax and Torture for Girlfriend

                ","
                    00:24:39
                ",https://bdsmstreak.com/video/35546/hot-wax-and-torture-for-girlfriend
101,"
                    Two Hours of Japanese Hot Wax BDSM

                ","
                    01:58:44
                ",https://bdsmstreak.com/video/35426/two-hours-of-japanese-hot-wax-bdsm
102,"
                    Sabrina Fox Dominated by Claire Adams

                ","
                    01:02:48
                ",https://bdsmstreak.com/video/35249/sabrina-fox-dominated-by-claire-adams
103,"
                    Clothpins and Hot Wax

                ","
                    00:01:08
                ",https://bdsmstreak.com/video/34977/clothpins-and-hot-wax
104,"
                    Degradation of Tia Ling - Part 2

                ","
                    00:30:15
                ",https://bdsmstreak.com/video/34325/degradation-of-tia-ling-part-2
105,"
                    Hot wax and bondage

                ","
                    00:02:10
                ",https://bdsmstreak.com/video/34261/hot-wax-and-bondage
106,"
                    Tit Pinch and Hot Wax - Lezdom

                ","
                    00:07:28
                ",https://bdsmstreak.com/video/34255/tit-pinch-and-hot-wax-lezdom
107,"
                    Hot Wax from Strict Wife

                ","
                    00:03:14
                ",https://bdsmstreak.com/video/33540/hot-wax-from-strict-wife
108,"
                    Doris Ivy vs Hot Wax

                ","
                    00:29:15
                ",https://bdsmstreak.com/video/33403/doris-ivy-vs-hot-wax
109,"
                    Waxed Cunt - German

                ","
                    00:06:29
                ",https://bdsmstreak.com/video/33157/waxed-cunt-german
110,"
                    Restrained for Wax and Vibe

                ","
                    00:12:51
                ",https://bdsmstreak.com/video/32807/restrained-for-wax-and-vibe
111,"
                    Training my 19 year old Slave

                ","
                    00:07:33
                ",https://bdsmstreak.com/video/32608/training-my-19-year-old-slave
112,"
                    Punishing her ass

                ","
                    00:07:02
                ",https://bdsmstreak.com/video/32168/punishing-her-ass
113,"
                    Wrapped up for Hot Wax

                ","
                    00:06:03
                ",https://bdsmstreak.com/video/32145/wrapped-up-for-hot-wax
114,"
                    Drooling Melanie

                ","
                    00:10:22
                ",https://bdsmstreak.com/video/31941/drooling-melanie
115,"
                    Hot Wax for the Russian Slave

                ","
                    00:08:48
                ",https://bdsmstreak.com/video/30886/hot-wax-for-the-russian-slave
116,"
                    Three Candles

                ","
                    00:09:57
                ",https://bdsmstreak.com/video/30815/three-candles
117,"
                    Japanese - Hanging Around Punishment

                ","
                    01:39:44
                ",https://bdsmstreak.com/video/30537/japanese-hanging-around-punishment
